CV_ID,vocabTitle,ontology,ontology_name,subject,version,creator,versionInfo,scheme,schemeLabel,topConcept,dataURI,owner,contributor,isDefinedBy,vocabURI,description,date_accepted,dct:accrualPolicy,meta:lastEditedBy
AZIMT,AZ Imaging Modality,https://purl.astrazeneca.net/rd/vocab/imaging/ImagingModality_cv,imagingmodality_cv,https://purl.astrazeneca.net/rd/vocab/imaging/ImagingModality,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck825,ImagingModality_cv-1.0.0,ImagingModalityScheme,Imaging Modality Scheme,ImagingModality,https://purl.astrazeneca.net/rd/data/imaging/ImagingModality/,"Holman, James; james.holman@astrazeneca.com","Harrison, Ian; ian.harrison1@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/imaging/ImagingModality/,Modalities of Imaging - method by which images are captured and generated,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck825
AZICL,AZ Indication Classification,https://purl.astrazeneca.net/rd/vocab/indication/IndicationClassification_cv,indicationclassification_cv,https://purl.astrazeneca.net/rd/vocab/indication/IndicationClassification,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck826,IndicationClassification_cv-1.0.0,IndicationClassificationScheme,Indication Classification Scheme,IndicationClassification,https://purl.astrazeneca.net/rd/data/indication/IndicationClassification/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Conte, Nathalie; nathalie.conte@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/indication/IndicationClassification/,Classification of indications,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck826
AZDDF,AZ Dataset Distribution  File Formats,https://purl.astrazeneca.net/rd/vocab/dataset/DistributionFormat_cv,distributionformat_cv,https://purl.astrazeneca.net/rd/vocab/dataset/DistributionFormat,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck827,DistributionFormat_cv-1.0.0,DistributionFormatScheme,Distribution File Format Scheme,DistributionFormat,https://purl.astrazeneca.net/rd/data/dataset/DistributionFormat/,"Holman, James; james.holman@astrazeneca.com","Scuffell, Derek; derek.scuffell@astrazeneca.com",,https://purl.astrazeneca.net/rd/data/dataset/DistributionFormat/,Formats of dataset distributions (file resources),21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck827
AZBCM,AZ Biospecimen Collection Methods,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenCollectionMethod_cv,biospecimencollectionmethod_cv,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenCollectionMethod,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck828,BiospecimenCollectionMethod_cv-1.0.0,BiospecimenCollectionMethodScheme,Biospecimen Collection Method Scheme,BiospecimenCollectionMethod,https://purl.astrazeneca.net/rd/data/biospecimen/BiospecimenCollectionMethod/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Conte, Nathalie; nathalie.conte@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenCollectionMethod/,Collection methods for biospecimens,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck828
AZBSM,AZ Biospecimen Materials,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenMaterial_cv,biospecimenmaterial_cv,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenMaterial,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck829,BiospecimenMaterial_cv-1.0.0,BiospecimenMaterialScheme,Biospecimen Material Scheme,BiospecimenMaterial,https://purl.astrazeneca.net/rd/data/biospecimen/BiospecimenMaterial/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Conte, Nathalie; nathalie.conte@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenMaterial/,materials that biospecimens can be composed of,22/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck829
AZBPM,AZ Biospecimen Preservation Methods,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenPreservationMethod_cv,biospecimenpreservationmethod_cv,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenPreservationMethod,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck830,BiospecimenPreservationMethod_cv-1.0.0,BiospecimenPreservationMethodScheme,Biospecimen Preservation Method Scheme,BiospecimenPreservationMethod,https://purl.astrazeneca.net/rd/data/biospecimen/BiospecimenPreservationMethod/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Conte, Nathalie; nathalie.conte@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/biospecimen/BiospecimenPreservationMethod/,preservation methods used for preserving biospecimens,22/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck830
AZISM,AZ Imaging Stain Methods,https://purl.astrazeneca.net/rd/vocab/imaging/ImagingStainMethod_cv,imagingstainmethod_cv,https://purl.astrazeneca.net/rd/vocab/imaging/ImagingStainMethod,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck831,ImagingStainMethod_cv-1.0.0,ImagingStainMethodScheme,Imaging Staining Method Scheme,ImagingStainMethod,https://purl.astrazeneca.net/rd/data/imaging/ImagingStainMethod/,"Holman, James; james.holman@astrazeneca.com","Harrison, Ian; ian.harrison1@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/imaging/ImagingStainMethod/,Methods of Biospecimen Staining used in Imaging,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck831
AZSTY,AZ Study Type,https://purl.astrazeneca.net/rd/vocab/study/StudyType_cv,studytype_cv,https://purl.astrazeneca.net/rd/vocab/study/StudyType,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck831,StudyType_cv-1.0.0,StudyTypeScheme,Study Type Scheme,StudyType,https://purl.astrazeneca.net/rd/data/study/StudyType/,"Holman, James; james.holman@astrazeneca.com",https://purl.astrazeneca.net/en/data/agent/Person/kqrs731,,https://purl.astrazeneca.net/rd/vocab/study/StudyType/,study types of interest to AstraZeneca,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck831
AZWIR,SKOS Template Example,https://purl.astrazeneca.net/rd/vocab/wine/WineRegion_cv,wineregion_cv,https://purl.astrazeneca.net/rd/vocab/wine/WineRegion,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck831,WineRegion_cv-1.0.0,WineRegionScheme,Wine Region Scheme,WineRegion,https://purl.astrazeneca.net/rd/data/wine/WineRegion/,"Holman, James; james.holman@astrazeneca.com","Scuffell, Derek; derek.scuffell@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/wine/WineRegion/,Wine Regions  of interest to AstraZeneca,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck831
RMOAT,SRS Optical Analysis Technique,https://purl.astrazeneca.net/rd/vocab/process/SRS/OpticalAnalyticalTechnique_cv,srs_opticalanalysistechnique_cv,https://purl.astrazeneca.net/rd/vocab/process/SRS/OpticalAnalysisTechnique,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck831,OpticalAnalysisTechnique_cv-1.0.0,OpticalAnalysisTechniqueScheme,Optical Analysis Technique Scheme,OpticalAnalysisTechnique,https://purl.astrazeneca.net/rd/data/process/SRS/OpticalAnalysisTechnique/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/process/SRS/OpticalAnalysisTechnique,Substance Registration System Optical Analysis Techniques,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck831
AGREW,Winter Wheat Recommended Varieties,https://www.agrimetrics.co.uk/def/crop/WinterWheatRecommendedVarities_cv,winterwheatrecommendedvarities_cv,https://www.agrimetrics.co.uk/def/crop/Variety,0.0.3,https://www.agrimetrics.co.uk/data/agent/Person/dscuffell,WinterWheatVariety_cv-1.0.0,VarietyScheme,Variety Scheme,WinterWheatVariety,https://www.agrimetrics.co.uk/data/crop/Variety/,"Holman, James; james.holman@astrazeneca.com","Scuffell, Derek; derek.scuffell@astrazeneca.com",,https://www.agrimetrics.co.uk/def/crop/WinterWheatRecommendedVarities,Winter Wheat Recommended List,21/01/2022,https://github.com/agrimetrics/controlled_vocab/README.md,https://www.agrimetrics.co.uk/data/agent/Person/aaubin
RMIS,SRS Initial State,https://purl.astrazeneca.net/rd/vocab/substance/SRS/InitialState_cv,srs_initialstate_cv,https://purl.astrazeneca.net/rd/vocab/substance/SRS/InitialState,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck831,InitialState_cv-1.0.0,InitialStateScheme,Initial State Scheme,InitialState,https://purl.astrazeneca.net/rd/data/substance/SRS/InitialState/,"Holman, James; james.holman@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/substance/SRS/InitialState,Substance Registration System Substance Initial States,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck831
AZSPE,AZ Biological Species,https://purl.astrazeneca.net/rd/vocab/biology/BiologicalSpecies_cv,biologicalspecies_cv,https://purl.astrazeneca.net/rd/vocab/biology/BiologicalSpecies,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck829,BiologicalSpecies_cv-1.0.0,BiologicalSpeciesScheme,Biological Species Scheme,BiologicalSpecies,https://purl.astrazeneca.net/rd/data/biology/BiologicalSpecies/,"Holman, James; james.holman@astrazeneca.com","Scuffell, Derek; derek.scuffell@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/biology/BiologicalSpecies/,biological species of interest to AZ,22/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klck829
